order_id,product_name,quantity,unit_price_inr,Detection Method,Reason
ORD00004,Running Shoes,2,2499,Isolation Forest,Unusual combination of price and quantity
ORD00012,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00020,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00024,Running Shoes,2,2499,Isolation Forest,Unusual combination of price and quantity
ORD00026,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
ORD00038,Bluetooth Speaker,5,1499,Isolation Forest,Unusual combination of price and quantity
ORD00040,Running Shoes,4,2499,Isolation Forest,Unusual combination of price and quantity
ORD00045,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00047,Running Shoes,4,2499,Isolation Forest,Unusual combination of price and quantity
ORD00053,Shampoo,0,399,Isolation Forest,Unusual combination of price and quantity
ORD00061,Face Serum,75,699,Isolation Forest,Unusual combination of price and quantity
ORD00067,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00071,Bluetooth Speaker,3,-499,Isolation Forest,Unusual combination of price and quantity
ORD00076,Running Shoes,5,2499,Isolation Forest,Unusual combination of price and quantity
ORD00077,Shampoo,2,999999,Isolation Forest,Unusual combination of price and quantity
ORD00078,Running Shoes,4,2499,Isolation Forest,Unusual combination of price and quantity
ORD00095,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00120,Bluetooth Speaker,5,1499,Isolation Forest,Unusual combination of price and quantity
ORD00124,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
ORD00130,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
ORD00134,Running Shoes,4,2499,Isolation Forest,Unusual combination of price and quantity
ORD00151,Running Shoes,5,2499,Isolation Forest,Unusual combination of price and quantity
ORD00156,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
ORD00166,Shampoo,0,399,Isolation Forest,Unusual combination of price and quantity
ORD00171,Running Shoes,4,2499,Isolation Forest,Unusual combination of price and quantity
ORD00185,Bluetooth Speaker,5,1499,Isolation Forest,Unusual combination of price and quantity
ORD00187,Running Shoes,4,2499,Isolation Forest,Unusual combination of price and quantity
ORD00188,Bluetooth Speaker,75,1499,Isolation Forest,Unusual combination of price and quantity
ORD00189,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
ORD00202,Bedsheet Set,5,-499,Isolation Forest,Unusual combination of price and quantity
ORD00206,Running Shoes,3,2499,Isolation Forest,Unusual combination of price and quantity
ORD00208,Bluetooth Speaker,5,1499,Isolation Forest,Unusual combination of price and quantity
ORD00214,Water Bottle,3,999999,Isolation Forest,Unusual combination of price and quantity
ORD00215,Running Shoes,1,2499,Isolation Forest,Unusual combination of price and quantity
ORD00216,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
ORD00218,Running Shoes,4,2499,Isolation Forest,Unusual combination of price and quantity
ORD00220,Running Shoes,2,2499,Isolation Forest,Unusual combination of price and quantity
ORD00235,Running Shoes,2,2499,Isolation Forest,Unusual combination of price and quantity
ORD00239,Bluetooth Speaker,1,1499,Isolation Forest,Unusual combination of price and quantity
ORD00256,Running Shoes,5,2499,Isolation Forest,Unusual combination of price and quantity
